id,strain,time,concentration,count,mean,std
LIeVhUPi_I9zf6nC1L2,MUCRKO,1,2,105,0.0333971045697016,0.008619408848991317
LGLUBGDYuJNIh1yctlf,MUCRB1,6,3,533,0.026681471266989637,0.0006819024339317022
o0dg5xgyjvc8lb5iccm4gu,MucATn,3,3,193,0.03259743885320665,0.00721453463404854
LFsJ4yt4B3dDhoP2tZO,MUCRA1,0,8,23,0.12525166954801342,0.02270651971331536
LFlqrJ5i33oJZRWePHB,WT,24,4,52,0.05782428687631507,0.005965187067123795
95ngfl7xpanrjvdkfof0js,MucATn,0,8,226,0.03393302470505968,0.004309678937566934
LGzLAkR8NNcg5AOTg-L,MUCRB1,6,3,190,0.03380998506545108,0.0022941473644555706
LGzLAli6eL3Kni7niH2,MUCRB1,3,4,39,0.04923184788774224,0.005940253052278953
LFsJ4zI7xlZadgG8Nrx,MUCRB1,0,12,29,0.10855585059904568,0.02902652055803664
m4obnmvl31kw47ifpg3kzm,MucATn,6,4,59,0.03458745974536518,0.003980478155021378
LGUtf9X2AgjpTXnwxZU,MUCRA1,6,3,146,0.03598323615926058,0.0024921801607467086
LFlqrIldxZ9s3jR5DqF,WT,24,4,13,0.12030725672510223,0.019193664772873816
LFllPvHcZW-cvX0RgHO,WT,0,11,160,0.04701745501147666,0.008197001548817414
LGLUBGWy2FJ9NB-tF2s,MUCRB1,3,3,182,0.0380208652279124,0.0035466436738883543
LGzLAlX2dc2ny6kRsTr,MUCRB1,1,2,63,0.05095292241575791,0.008989059645912536
LGzLAli6eL3Kni7niH3,MUCRB1,3,4,24,0.06715993754711153,0.007562618129048983
LGGe_j4hrXsqQ620a7a,MUCRA1,24,2,108,0.06277235099338146,0.010208750504491288
LGGe_j9PcGdqS1xtIzv,MUCRA1,24,2,107,0.06340653451904682,0.010856270619705772
LIfbzxhLgh9Seoxionl,MUCRKO,6,4,537,0.025503723750390835,0.005370737950674759
LGUtf7kSwbFAFQblVJ2,MUCRA1,1,2,141,0.04686637005441797,0.00586780957831951
q66vt40j4ybd9tpx8rjs8b,MucATn,24,4,46,0.04378264657960917,0.008157503212250174
LFsNITmZfV11Hdr37W1,MUCRB1,6,3,71,0.08100671919486782,0.019059791564572916
LIkftAAq_fl3tqqD4iT,MUCRKO,3,3,72,0.0406143981152283,0.010899816797164766
LIeVhTn5ohS8c-T1c6t,MUCRKO,3,3,124,0.03933481022911533,0.009881580479807826
LIk_EWvMF3jiWgBXOru,MUCRKO,24,3,208,0.025004549663875088,0.005198072797232393
LGUtf8zYMPij0EI5sxU,MUCRA1,1,2,121,0.046086871267892154,0.006389814114988366
ufdqbtbyiqkk94xbrq2z4,MucATn,24,4,45,0.04842168900852441,0.006853392613363289
LGLUBEwMjWkGr6jLWsT,MUCRB1,0,8,17,0.06868841711118343,0.012598567099049685
v0rgd6t2hqhda5szfltanb,MucATn,6,3,242,0.03127517321720426,0.003739062437243071
LIk_EXVEv8lxJ-tsjf5,MUCRKO,6,4,231,0.030584877262117643,0.0071097686834333835
LGKJ2HsbaiulPfhkvnm,MUCRA1,1,2,298,0.037108213905729596,0.0024518072372796493
LI_eCvKAIVleTs3Mkxf,MUCRKO,24,3,219,0.026533191392076057,0.006018444541293798
LGKJ2Ilzu2tDrkbkxk8,MUCRA1,24,2,311,0.038161766161266715,0.0021386735788839974
LGLUBFg7Oq4vs_WEVVD,MUCRB1,1,2,85,0.052446330166797554,0.005497111784641696
LGUtf9Ik-XoPepQJqse,MUCRA1,3,4,41,0.061033665082840804,0.008695169379835265
LGKJ2HjLd0D45r-NqR,MUCRA1,6,4,65,0.041866801711073626,0.004585890642417809
LFllPuajqGbPCugMneQ,WT,0,11,98,0.04346745728890991,0.008053871587884343
LFsNITQ3K0XSriy3jE_,MUCRB1,6,3,81,0.06450513191212313,0.009917834195372422
LGGe_hvvi-MEnsy_pSF,MUCRA1,1,2,108,0.058348437247264025,0.0059599273835255
LGLUBGQhS7mnlOkeWvt,MUCRB1,3,3,222,0.0381872443687533,0.0033640846550237824
LI_eCv73GLVMiJk6UPB,MUCRKO,0,8,79,0.04852783206767639,0.013594378798717041
LIfbzxUKJ4gUtX6d64k,MUCRKO,3,3,115,0.036423196384316424,0.009992309717625852
LGUtf9NwAC1nSwOzm2n,MUCRA1,6,3,136,0.03836466279944223,0.0035804134707899623
wsu2hogd1isgm84fc9x20k,MucATn,0,8,267,0.03438537822837093,0.0031085070314750313
LI_eCvDgxMzAViBCckW,MUCRKO,3,3,141,0.04069957346848924,0.010308376827594796
LIkjJM0FfgLsFzy7xqz,MUCRKO,1,2,112,0.03679934565964092,0.010518796494686214
LFsNITb5Pw-XXyeSFKB,MUCRA1,6,3,40,0.10229811686536436,0.026843017410411993
LIfbzxdzoIGjBgpXLlU,MUCRKO,24,3,187,0.027839905161687502,0.006157279628549168
LI_K6Ekf2iPw5ph_VIm,MUCRB1,0,10,213,0.04509851265762513,0.004420393439387012
LGK5QaKrY1s61EZ4OcN,MUCRB1,3,2,164,0.051828535165104404,0.006072117495833872
xwjhuswat3c4nidl1cb42v,MucATn,1,2,62,0.043904444430522674,0.004694732707014068
LI_eCuswfX3yG9LabQw,MUCRKO,3,3,160,0.043615436844842426,0.006918796593525268
LIkftATmQdK_zk0KJ3u,MUCRKO,3,3,68,0.037907799147167055,0.009587252842254717
LFllPvmzhrA6Y7YS8eh,WT,0,11,253,0.043690191436941216,0.0036824491340156132
LI_eCtq49CM3f7K5V29,MUCRKO,1,2,90,0.04169783416748023,0.013473357087762153
LGzLAlgANIwM7qkSU5M,MUCRB1,3,4,25,0.05184065852035708,0.005967203842792868
LGK5QaebQf1Ggkm64ON,MUCRB1,1,2,42,0.08082251209763383,0.015298343239942254
LFlqrJ-Fp8AOyXpaXJK,WT,24,4,30,0.06229228178620947,0.010423403797572565
LFsNISm7r6vwsjnahJ4,MUCRB1,6,3,96,0.0657267512160085,0.012247765916328604
LFsJ4zeShI-HRnKlNfI,MUCRB1,0,12,50,0.08871524486980321,0.017212750623346644
LIfbzx6JOK0rPQWS2JC,MUCRKO,1,2,100,0.030775941182576406,0.007259804512031365
uo85q6zypmmkvydnq1vidh,MucATn,0,14,179,0.04311431162681685,0.008389325492679813
LGzLAkGSwbxhR73OSKL,MUCRB1,1,2,56,0.058541339935813785,0.008322569024735757
LGzLAl7Pi43Qv9_fots,MUCRB1,6,3,234,0.03220514721014396,0.0022853212623825717
LGUtf9KGvYcqDiG0oUl,MUCRA1,3,4,27,0.05948202356070302,0.008705056617566929
cntjma2qmq79vud094fwu,MucATn,0,8,187,0.03742379667726318,0.006916218542301206
LIfbzx_rAavNgXXVFA5,MUCRKO,0,10,213,0.03939540019462777,0.011597468080151153
vh6l88flm9evgv8uw9pv7,MucATn,3,4,57,0.03414186217194338,0.007142470037632165
LGK5Qa00KwPC9PGsIJe,MUCRB1,24,2,81,0.06148670912972844,0.006219023078047908
kj7u1o9m3vn61tj51oqd3n,MucATn,6,3,250,0.032299838620185976,0.004270095364206062
LGUtf9L4PMpsHasPW85,MUCRA1,3,4,22,0.06765488627468352,0.006781984041450488
LIfhhsLl51Km6V8Efm8,MUCRKO,6,4,518,0.027174083088073366,0.005346153400127952
LGK5QalwKLwivuYhBPR,MUCRB1,3,2,177,0.05013400068412733,0.006210885972801574
LGKJ2IPZboIpyNpRV-W,MUCRA1,3,4,35,0.05726987345303421,0.007036157422121116
49351ygso0nbw2vauxqm25,MucATn,24,4,67,0.042039421978049434,0.0050676790647068756
5wa8qoqrar4ra1dbhcrqvn,MucATn,1,2,81,0.04106784621418238,0.0037137660439068737
LIeVhUgmR8g6eYN0qLN,MUCRKO,1,2,105,0.031405765074335984,0.008705657055927659
LI_eCvG-6qFaysl8k9U,MUCRKO,24,3,217,0.03163602105488758,0.008596800876071953
LFlqrIdhOM3rPUUmSdD,WT,24,4,3,0.11996825444942372,0.023850269010702575
mmygo8io9xyr7u85smc6p,MucATn,1,2,109,0.040798014472925,0.004918092056648362
LGKJ2IeYLUukUchc4YZ,MUCRA1,6,4,62,0.054829232256429924,0.007648503626595891
LGKJ2Icc-Wdh4mK3UP,MUCRA1,6,4,80,0.048085336879266104,0.004419039420376761
LGKJ2J0wSah67dT8UhK,MUCRA1,24,2,342,0.03227479186252853,0.0024697654004245556
LI_eCvB-I4-0j3reS7k,MUCRKO,0,8,61,0.05412229741105743,0.016679287487897557
LIuBp9vyDy2-dSU0Dxo,MUCRKO,6,3,269,0.027447927921843952,0.006571968550498778
LFlqrIL0hHWbf-qCX5w,WT,24,4,7,0.16577066557285525,0.040764665136192875
LGKJ2IuqSVLghRQvKVF,MUCRA1,24,2,313,0.035366928780200625,0.0013511031427313356
LI_eCuDtIGuvqxAMyMl,MUCRKO,1,2,82,0.0444654420941072,0.012765006293101197
6yg0nexld1wd9ryj9vwcxg,MucATn,6,3,168,0.03356168937062971,0.005754372417563618
2j3tkge10gyavrhgsx4g7b,MucATn,0,8,233,0.03611826816852992,0.006815355957279605
2trxknfqta44r1azp5bp0a,MucATn,0,12,30,0.04953178123149461,0.009189148139062922
LGLUBGAFlMym-elC5lW,MUCRB1,0,8,10,0.08853454017937748,0.011170297961842959
LGzLAlZGDxhzkYihaMY,MUCRB1,0,10,288,0.03675662060822566,0.005576266014557564
LI_K6DUBIujGXZV80MV,MUCRB1,0,10,281,0.0408162810381896,0.006131005560416387
LGKJ2GxQ64rrzD-KSD3,MUCRA1,0,10,258,0.03944272313351241,0.003961499698205319
ivxzauofppn4s31ip306nw,MucATn,0,8,162,0.043298195244348026,0.006026271596672623
LGKJ2ITchb09GaLAizU,MUCRA1,1,2,257,0.037826190077863926,0.0031202479780310195
LGKJ2IJOV8XPeKNk_aE,MUCRA1,0,10,234,0.04079254055009475,0.004545932519844603
eznb8j27an6xunpstjxrz8,MucATn,24,4,93,0.03586018799411878,0.0080568154114668
LGK5QavRPMxMV9Uxbrk,MUCRB1,1,2,44,0.06998526213400388,0.0062186984890916525
LGLUBFCzAcvEruYgheQ,MUCRB1,1,2,77,0.0587654748682414,0.006266869345349195
LGK5QawuISfmeBkidiB,MUCRB1,1,2,53,0.06001168794798159,0.007448190054459064
LFllPv2Y2PLLB32eYuJ,WT,0,11,148,0.04668432178879413,0.007011824243352752
LI_eCuZCuEmX6LE7LtJ,MUCRKO,3,3,142,0.0477108331692186,0.011045416468072163
LGLUBGg1G77xm2hR97l,MUCRB1,3,3,192,0.04551054898307935,0.005578060836957944
